timestamp,Infrared to Red Signal Ratio
10/13/23 02:31:30,-1
10/13/23 02:32:30,7
10/13/23 02:33:30,-78
10/13/23 02:34:30,-13
10/13/23 02:35:30,0
10/13/23 02:36:30,-19
10/13/23 02:37:30,6
10/13/23 02:38:59,0
10/13/23 02:39:59,0
10/13/23 02:40:59,-24
10/13/23 02:41:59,-4
10/13/23 02:42:59,5
10/13/23 02:43:59,0
10/13/23 02:44:59,0
10/13/23 02:46:02,11
10/13/23 02:47:02,-5
10/13/23 02:48:02,0
10/13/23 02:49:02,-3
10/13/23 02:50:02,-2
10/13/23 02:51:02,-6
10/13/23 02:52:02,0
10/13/23 02:53:02,0
10/13/23 02:54:02,4
10/13/23 02:55:02,0
10/13/23 02:56:02,0
10/13/23 02:57:02,6
10/13/23 02:58:02,-7
10/13/23 02:59:02,0
10/13/23 03:00:02,-26
10/13/23 03:01:03,0
10/13/23 03:02:03,4
10/13/23 03:03:03,-8
10/13/23 03:04:03,-2
10/13/23 03:05:03,5
10/13/23 03:06:03,-2
10/13/23 03:07:03,1
10/13/23 03:08:03,-2
10/13/23 03:09:03,0
10/13/23 03:10:03,-4
10/13/23 03:11:03,0
10/13/23 03:12:03,-7
10/13/23 03:13:03,-1
10/13/23 03:14:03,0
10/13/23 03:15:03,0
10/13/23 03:16:04,-1
10/13/23 03:17:04,0
10/13/23 03:18:04,-4
10/13/23 03:19:04,4
10/13/23 03:20:04,0
10/13/23 03:21:04,0
10/13/23 03:22:04,14
10/13/23 03:23:04,1
10/13/23 03:24:04,-52
10/13/23 03:25:04,-25
10/13/23 03:26:04,-22
10/13/23 03:27:04,13
10/13/23 03:28:04,0
10/13/23 03:29:04,-5
10/13/23 03:30:04,0
10/13/23 03:31:07,-3
10/13/23 03:32:07,-18
10/13/23 03:33:07,-18
10/13/23 03:34:07,-7
10/13/23 03:35:07,18
10/13/23 03:36:07,0
10/13/23 03:37:07,-42
10/13/23 03:38:07,-16
10/13/23 03:39:07,0
10/13/23 03:40:07,11
10/13/23 03:41:07,-8
10/13/23 03:42:07,0
10/13/23 03:43:07,-2
10/13/23 03:44:07,-26
10/13/23 03:45:07,-17
10/13/23 03:46:08,-1
10/13/23 03:47:08,-19
10/13/23 03:48:08,3
10/13/23 03:49:08,47
10/13/23 03:50:08,19
10/13/23 03:51:08,4
10/13/23 03:52:08,36
10/13/23 03:53:08,1
10/13/23 03:54:08,3
10/13/23 03:55:08,13
10/13/23 03:56:08,0
10/13/23 03:57:08,-34
10/13/23 03:58:08,-5
10/13/23 03:59:08,4
10/13/23 04:00:08,-4
10/13/23 04:01:10,-9
10/13/23 04:02:10,0
10/13/23 04:03:10,29
10/13/23 04:04:10,7
10/13/23 04:05:10,2
10/13/23 04:06:10,1
10/13/23 04:07:10,0
10/13/23 04:08:10,0
10/13/23 04:09:10,0
10/13/23 04:10:10,8
10/13/23 04:11:10,31
10/13/23 04:12:10,3
10/13/23 04:13:10,0
10/13/23 04:14:10,13
10/13/23 04:15:10,0
10/13/23 04:16:11,1
10/13/23 04:17:11,-1
10/13/23 04:18:11,0
10/13/23 04:19:11,41
10/13/23 04:20:11,3
10/13/23 04:21:11,1
10/13/23 04:22:11,-7
10/13/23 04:23:11,29
10/13/23 04:24:11,10
10/13/23 04:25:11,0
10/13/23 04:26:11,-16
10/13/23 04:27:11,13
10/13/23 04:28:11,-11
10/13/23 04:29:11,21
10/13/23 04:30:11,9
10/13/23 04:31:13,2
10/13/23 04:32:13,0
10/13/23 04:33:13,3
10/13/23 04:34:13,14
10/13/23 04:35:13,0
10/13/23 04:36:13,-1
10/13/23 04:37:13,2
10/13/23 04:38:13,0
10/13/23 04:39:13,-39
10/13/23 04:40:13,7
10/13/23 04:41:13,6
10/13/23 04:42:13,0
10/13/23 04:43:13,-3
10/13/23 04:44:13,6
10/13/23 04:45:13,-3
10/13/23 04:46:16,-4
10/13/23 04:47:16,40
10/13/23 04:48:16,7
10/13/23 04:49:16,-17
10/13/23 04:50:16,20
10/13/23 04:51:16,4
10/13/23 04:52:16,0
10/13/23 04:53:16,0
10/13/23 04:54:16,-30
10/13/23 04:55:16,0
10/13/23 04:56:16,-11
10/13/23 04:57:16,6
10/13/23 04:58:16,7
10/13/23 04:59:16,8
10/13/23 05:00:16,26
10/13/23 05:01:18,7
10/13/23 05:02:18,17
10/13/23 05:03:18,11
10/13/23 05:04:18,-14
10/13/23 05:05:18,0
10/13/23 05:06:18,56
10/13/23 05:07:18,-21
10/13/23 05:08:18,0
10/13/23 05:09:18,-17
10/13/23 05:10:18,-61
10/13/23 05:11:18,0
10/13/23 05:12:18,0
10/13/23 05:13:18,31
10/13/23 05:14:18,0
10/13/23 05:15:18,10
10/13/23 05:16:20,14
10/13/23 05:17:20,0
10/13/23 05:18:20,0
10/13/23 05:19:20,1
10/13/23 05:20:20,2
10/13/23 05:21:20,-1
10/13/23 05:22:20,7
10/13/23 05:23:20,5
10/13/23 05:24:20,-10
10/13/23 05:25:20,-17
10/13/23 05:26:20,30
10/13/23 05:27:20,-9
10/13/23 05:28:20,-8
10/13/23 05:29:20,-4
10/13/23 05:30:20,-11
10/13/23 05:31:20,-17
10/13/23 05:32:23,0
10/13/23 05:33:23,-21
10/13/23 05:34:23,-5
10/13/23 05:35:23,23
10/13/23 05:36:23,4
10/13/23 05:37:23,0
10/13/23 05:38:23,-20
10/13/23 05:39:23,43
10/13/23 05:40:23,37
10/13/23 05:41:23,0
10/13/23 05:42:23,1
10/13/23 05:43:23,4
10/13/23 05:44:23,1
10/13/23 05:45:23,26
10/13/23 05:46:23,-21
10/13/23 05:47:25,34
10/13/23 05:48:25,5
10/13/23 05:49:25,14
10/13/23 05:50:25,-4
10/13/23 05:51:25,30
10/13/23 05:52:25,-16
10/13/23 05:53:25,-39
10/13/23 05:54:25,34
10/13/23 05:55:25,6
10/13/23 05:56:25,0
10/13/23 05:57:25,0
10/13/23 05:58:25,0
10/13/23 05:59:25,10
10/13/23 06:00:25,-10
10/13/23 06:01:25,20
10/13/23 06:02:28,-26
10/13/23 06:03:28,0
10/13/23 06:04:28,0
10/13/23 06:05:28,4
10/13/23 06:06:28,11
10/13/23 06:07:28,0
10/13/23 06:08:28,8
10/13/23 06:09:28,0
10/13/23 06:10:28,-1
10/13/23 06:11:28,-3
10/13/23 06:12:28,45
10/13/23 06:13:28,33
10/13/23 06:14:28,1
10/13/23 06:15:28,0
10/13/23 06:16:28,6
10/13/23 06:17:28,4
10/13/23 06:18:28,-1
10/13/23 06:19:28,1
10/13/23 06:20:28,38
10/13/23 06:21:28,4
10/13/23 06:22:28,-10
10/13/23 06:23:28,-18
10/13/23 06:24:28,-5
10/13/23 06:25:28,20
10/13/23 06:26:28,-11
10/13/23 06:27:28,0
10/13/23 06:28:28,-18
10/13/23 06:29:28,35
10/13/23 06:30:28,-16
10/13/23 06:31:28,8
10/13/23 06:32:31,0
10/13/23 06:33:31,0
10/13/23 06:34:31,0
10/13/23 06:35:31,0
10/13/23 06:36:31,0
10/13/23 06:37:31,38
10/13/23 06:38:31,0
10/13/23 06:39:31,-12
10/13/23 06:40:31,0
10/13/23 06:41:31,-39
10/13/23 06:42:31,-17
10/13/23 06:43:31,-36
10/13/23 06:44:31,-52
10/13/23 06:45:31,2
10/13/23 06:46:31,-6
10/13/23 06:47:34,0
10/13/23 06:48:34,17
10/13/23 06:49:34,1
10/13/23 06:50:34,-19
10/13/23 06:51:34,12
10/13/23 06:52:34,-33
10/13/23 06:53:34,-13
10/13/23 06:54:34,0
10/13/23 06:55:34,21
10/13/23 06:56:34,-17
10/13/23 06:57:34,4
10/13/23 06:58:34,-2
10/13/23 06:59:34,8
10/13/23 07:00:34,-1
10/13/23 07:01:34,-30
10/13/23 07:02:36,3
10/13/23 07:03:36,0
10/13/23 07:04:36,-14
10/13/23 07:05:36,-4
10/13/23 07:06:36,-10
10/13/23 07:07:36,0
10/13/23 07:08:36,30
10/13/23 07:09:36,-23
10/13/23 07:10:36,0
10/13/23 07:11:36,0
10/13/23 07:12:36,0
10/13/23 07:13:36,7
10/13/23 07:14:36,0
10/13/23 07:15:36,0
10/13/23 07:16:36,-4
10/13/23 07:17:38,-12
10/13/23 07:18:38,0
10/13/23 07:19:38,1
10/13/23 07:20:38,17
10/13/23 07:21:38,0
10/13/23 07:22:38,-4
10/13/23 07:23:38,22
10/13/23 07:24:38,20
10/13/23 07:25:38,0
10/13/23 07:26:38,-1
10/13/23 07:27:38,-6
10/13/23 07:28:38,-8
10/13/23 07:29:38,0
10/13/23 07:30:38,-5
10/13/23 07:31:38,-6
10/13/23 07:32:40,4
10/13/23 07:33:40,-5
10/13/23 07:34:40,-7
10/13/23 07:35:40,-13
10/13/23 07:36:40,26
10/13/23 07:37:40,7
10/13/23 07:38:40,1
10/13/23 07:39:40,13
10/13/23 07:40:40,-21
10/13/23 07:41:40,13
10/13/23 07:42:40,-13
10/13/23 07:43:40,0
10/13/23 07:44:40,5
10/13/23 07:45:40,-15
10/13/23 07:46:40,43
10/13/23 07:47:43,9
10/13/23 07:48:43,0
10/13/23 07:49:43,-3
10/13/23 07:50:43,0
10/13/23 07:51:43,11
10/13/23 07:52:43,38
10/13/23 07:53:43,34
10/13/23 07:54:43,4
10/13/23 07:55:43,26
10/13/23 07:56:43,4
10/13/23 07:57:43,18
10/13/23 07:58:43,-44
10/13/23 07:59:43,8
10/13/23 08:00:43,-8
10/13/23 08:01:43,9
10/13/23 08:02:47,0
10/13/23 08:03:47,0
10/13/23 08:04:47,0
10/13/23 08:05:47,-11
10/13/23 08:06:47,0
10/13/23 08:07:47,-19
10/13/23 08:08:47,-41
10/13/23 08:09:47,0
10/13/23 08:10:47,0
10/13/23 08:11:47,-2
10/13/23 08:12:47,0
10/13/23 08:35:41,2
10/13/23 08:36:41,8
10/13/23 08:37:41,7
10/13/23 08:38:41,1
10/13/23 08:40:28,6
10/13/23 08:41:28,0
10/13/23 08:42:28,0
10/13/23 08:43:28,-1
10/13/23 08:44:28,-14
10/13/23 08:45:28,0
10/13/23 08:46:28,0
10/13/23 08:47:28,32
10/13/23 08:48:28,70
10/13/23 08:49:28,4
10/13/23 08:50:28,4
10/13/23 08:51:28,-7
10/13/23 08:52:28,0
10/13/23 08:53:28,0
10/13/23 08:54:28,-8
10/13/23 08:55:28,-4
10/13/23 08:56:28,-12
10/13/23 08:57:28,10
10/13/23 08:58:28,-26
10/13/23 08:59:28,-12
10/13/23 09:00:28,8
10/13/23 09:01:28,31
10/13/23 09:02:28,-6
