recorded_time,temperature,sensor_type
2023-10-26T00:00,-1.2450574712643672,UNKNOWN
2023-10-26T00:01,-1.2450574712643672,UNKNOWN
2023-10-26T00:02,-1.2450574712643672,UNKNOWN
2023-10-26T00:03,-1.345057471264365,UNKNOWN
2023-10-26T00:04,-1.4450574712643665,UNKNOWN
2023-10-26T00:05,-1.4450574712643665,UNKNOWN
2023-10-26T00:06,-1.5450574712643643,UNKNOWN
2023-10-26T00:07,-1.7450574712643672,UNKNOWN
2023-10-26T00:08,-1.9450574712643665,UNKNOWN
2023-10-26T00:09,-1.9450574712643665,UNKNOWN
2023-10-26T00:10,-1.9450574712643665,UNKNOWN
2023-10-26T00:11,-1.9450574712643665,UNKNOWN
2023-10-26T00:12,-1.6450574712643657,UNKNOWN
2023-10-26T00:13,-1.4450574712643665,UNKNOWN
2023-10-26T00:14,-1.2450574712643672,UNKNOWN
2023-10-26T00:15,-1.2450574712643672,UNKNOWN
2023-10-26T00:16,-1.2450574712643672,UNKNOWN
2023-10-26T00:17,-1.345057471264365,UNKNOWN
2023-10-26T00:18,-1.2450574712643672,UNKNOWN
2023-10-26T00:19,-1.1450574712643657,UNKNOWN
2023-10-26T00:20,-1.0450574712643643,UNKNOWN
2023-10-26T00:21,-0.9450574712643665,UNKNOWN
2023-10-26T00:22,-1.0450574712643643,UNKNOWN
2023-10-26T00:23,-0.9450574712643665,UNKNOWN
2023-10-26T00:24,-0.9450574712643665,UNKNOWN
2023-10-26T00:25,-0.845057471264365,UNKNOWN
2023-10-26T00:26,-0.9450574712643665,UNKNOWN
2023-10-26T00:27,-1.1450574712643657,UNKNOWN
2023-10-26T00:28,-1.0450574712643643,UNKNOWN
2023-10-26T00:29,-0.9450574712643665,UNKNOWN
2023-10-26T00:30,-0.9450574712643665,UNKNOWN
2023-10-26T00:31,-0.9450574712643665,UNKNOWN
2023-10-26T00:32,-1.0450574712643643,UNKNOWN
2023-10-26T00:33,-1.1450574712643657,UNKNOWN
2023-10-26T00:34,-1.2450574712643672,UNKNOWN
2023-10-26T00:35,-1.4450574712643665,UNKNOWN
2023-10-26T00:36,-1.4450574712643665,UNKNOWN
