type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-10-10T00:26:30,2023-10-10T08:30:30,481,31.50790020790021,NaN,NaN,NaN,NaN
IDT,2023-10-11T01:53:30,2023-10-11T08:07:30,374,32.31336898395722,NaN,NaN,NaN,NaN
IDT,2023-10-12T01:46:30,2023-10-12T08:16:30,390,32.23230769230769,0.0,886.9129230768885,0.44349315772103354,1.5099608628688361
IDT,2023-10-13T02:18,2023-10-13T08:11:30,354,31.269209039548024,-212.7167983367999,725.3748200414702,0.5208102312725237,1.4450313778277522
IDT,2023-10-14T02:27,2023-10-14T10:32,485,32.74927835051547,250.7307692307695,643.9926982248435,0.6100745880426925,1.3551400033039203
IDT,2023-10-15T02:00:30,2023-10-15T08:58,417,32.17649880095924,-11.63615384615332,738.3143886723556,0.5496648476131806,1.349135063415061
IDT,2023-10-16T01:40:30,2023-10-16T08:04,383,32.08198433420365,-36.19904076738749,621.9670249412302,0.5020071584931088,1.3353992222801676
IDT,2023-10-17T00:56:30,2023-10-17T07:55,418,32.587081339712924,159.9594429072131,431.2032138161594,0.5024348011593118,1.2849454084580756
IDT,2023-10-18T01:38:30,2023-10-18T07:36:30,356,31.13679775280899,-370.13357314148743,1015.356213389081,0.5719625645945888,1.3419406507456222
IDT,2023-10-19T01:24,2023-10-19T08:38:30,435,32.145057471264366,-6.838489208632382,459.9243791602785,0.5410402352084351,1.3043444805438855
IDT,2023-10-20T01:46,2023-10-20T08:05:30,380,32.77263157894737,226.5304556354895,520.6375982380705,0.5612085076333517,1.292637028608615
IDT,2023-10-21T02:12,2023-10-21T10:54,521,32.689443378119,252.7059085039691,837.2444456676021,0.5625208763087178,1.2880774444736345
IDT,2023-10-22T01:55,2023-10-22T08:50:30,416,32.323557692307695,37.960000000000946,263.57298461534083,0.5410138378318683,1.2509101888709941
IDT,2023-10-23T01:23,2023-10-23T08:14,411,31.376399026763988,-340.30973436635213,839.198966677417,0.5596668496846257,1.2680278869897235
IDT,2023-10-24T00:21,2023-10-24T08:11:30,471,31.83736730360934,-159.73093525180047,360.9721267016139,0.5434668955194241,1.2383812881613967
IDT,2023-10-25T01:27:30,2023-10-25T07:56:30,389,32.06092544987146,-38.8426949474906,791.7646142693702,0.5250603883820615,1.2516656846573606
IDT,2023-10-26T01:41:30,2023-10-26T08:21,399,31.75588972431078,-155.2779310344813,506.4528217202751,0.5143822727495015,1.2430200942330705
IDT,2023-10-27T00:53:30,2023-10-27T06:49,354,32.86101694915254,247.88453981642124,388.58040983066894,0.5335668567132494,1.2346826583256045
IDT,2023-10-28T03:08,2023-10-28T09:00,350,32.14714285714286,-1.8189894035458565E-12,326.7321428572759,0.5186270890388848,1.2225445200786949
IDT,2023-10-31T00:38:30,2023-10-31T08:03,444,31.5472972972973,-265.86847290640617,1141.2495605531149,0.5200518866002612,1.2476414355700036
IDT,2023-11-01T02:04:30,2023-11-01T08:01:30,357,32.23221288515406,30.36999999999898,473.54312857147306,0.5079916803736803,1.2435979186054127
