timestamp,Infrared to Red Signal Ratio
11/22/23 02:33:30,0
11/22/23 02:34:30,0
11/22/23 02:35:30,0
11/22/23 02:36:30,0
11/22/23 02:37:30,0
11/22/23 02:38:30,0
11/22/23 02:39:30,40
11/22/23 02:40:30,0
11/22/23 02:41:30,0
11/22/23 02:42:30,0
11/22/23 02:43:30,8
11/22/23 02:44:30,0
11/22/23 02:45:30,29
11/22/23 02:46:30,-9
11/22/23 02:47:30,-9
11/22/23 02:48:30,0
11/22/23 02:49:30,0
11/22/23 02:50:30,3
11/22/23 02:51:30,8
11/22/23 02:52:30,-4
11/22/23 02:53:30,0
11/22/23 02:54:30,-35
11/22/23 02:55:30,-81
11/22/23 02:56:30,-10
11/22/23 02:57:30,-61
11/22/23 02:58:30,-4
11/22/23 02:59:30,13
11/22/23 03:00:30,-2
11/22/23 03:01:30,9
11/22/23 03:02:30,0
11/22/23 03:03:30,-8
11/22/23 03:04:30,17
11/22/23 03:05:30,0
11/22/23 03:06:30,-7
11/22/23 03:07:30,0
11/22/23 03:08:30,9
11/22/23 03:09:59,33
11/22/23 03:10:59,2
11/22/23 03:11:59,4
11/22/23 03:12:59,47
11/22/23 03:13:59,-1
11/22/23 03:14:59,-18
11/22/23 03:15:59,25
11/22/23 03:16:59,5
11/22/23 03:17:59,0
11/22/23 03:18:59,0
11/22/23 03:19:59,-1
11/22/23 03:20:59,0
11/22/23 03:21:59,-2
11/22/23 03:22:59,-10
11/22/23 03:23:59,5
11/22/23 03:24:59,-2
11/22/23 03:25:59,-5
11/22/23 03:26:59,-28
11/22/23 03:27:59,1
11/22/23 03:28:59,26
11/22/23 03:29:59,0
11/22/23 03:30:59,-8
11/22/23 03:31:59,0
11/22/23 03:33:00,6
11/22/23 03:34:00,0
11/22/23 03:35:00,0
11/22/23 03:36:00,0
11/22/23 03:37:00,-5
11/22/23 03:38:00,0
11/22/23 03:39:00,0
11/22/23 03:40:00,-4
11/22/23 03:41:00,22
11/22/23 03:42:00,-1
11/22/23 03:43:00,1
11/22/23 03:44:00,0
11/22/23 03:45:00,5
11/22/23 03:46:00,0
11/22/23 03:47:00,17
11/22/23 03:48:00,0
11/22/23 03:49:00,0
11/22/23 03:50:00,-23
11/22/23 03:51:00,-2
11/22/23 03:52:00,0
11/22/23 03:53:00,-11
