timestamp,Infrared to Red Signal Ratio
11/08/23 00:21:00,0
11/08/23 00:22:00,0
11/08/23 00:23:00,-62
11/08/23 00:24:00,-2
11/08/23 00:25:00,-4
11/08/23 00:26:00,-21
11/08/23 00:27:00,-1
11/08/23 00:28:00,52
11/08/23 00:29:00,0
11/08/23 00:30:00,-6
11/08/23 00:31:00,0
11/08/23 00:32:00,-15
11/08/23 00:33:00,0
11/08/23 00:34:00,0
11/08/23 00:35:00,0
11/08/23 00:36:03,-30
11/08/23 00:37:03,21
11/08/23 00:38:03,-12
11/08/23 00:39:03,-33
11/08/23 00:40:03,36
11/08/23 00:41:03,42
11/08/23 00:42:03,15
11/08/23 00:43:03,15
11/08/23 00:44:03,-18
11/08/23 00:45:03,29
11/08/23 00:46:03,7
11/08/23 00:47:03,15
11/08/23 00:48:03,8
11/08/23 00:49:58,0
11/08/23 00:51:01,4
11/08/23 00:52:01,0
11/08/23 00:53:01,0
11/08/23 00:54:01,0
11/08/23 00:55:01,4
11/08/23 00:56:01,22
11/08/23 00:57:01,10
11/08/23 00:58:01,21
11/08/23 00:59:01,0
11/08/23 01:00:01,19
11/08/23 01:01:01,0
11/08/23 01:02:01,4
11/08/23 01:03:01,-28
11/08/23 01:04:01,-4
11/08/23 01:05:01,-8
11/08/23 01:06:05,10
11/08/23 01:07:05,4
11/08/23 01:08:05,0
11/08/23 01:09:05,-26
11/08/23 01:10:05,-3
11/08/23 01:11:05,-3
11/08/23 01:12:05,-5
11/08/23 01:13:05,17
11/08/23 01:14:05,-1
11/08/23 01:15:05,1
11/08/23 01:16:05,8
11/08/23 01:17:05,17
11/08/23 01:18:05,17
11/08/23 01:19:05,13
11/08/23 01:20:05,8
11/08/23 01:21:07,0
11/08/23 01:22:07,1
11/08/23 01:23:07,8
11/08/23 01:24:07,-22
11/08/23 01:25:07,-3
11/08/23 01:26:07,6
11/08/23 01:27:07,0
11/08/23 01:28:07,0
11/08/23 01:29:07,-38
11/08/23 01:30:07,-8
11/08/23 01:31:07,0
