timestamp,Infrared to Red Signal Ratio
11/01/23 02:10:31,13
11/01/23 02:11:31,-29
11/01/23 02:12:31,1
11/01/23 02:13:31,0
11/01/23 02:14:31,-38
11/01/23 02:15:31,-36
11/01/23 02:16:31,0
11/01/23 02:17:31,43
11/01/23 02:18:31,16
11/01/23 02:19:31,0
11/01/23 02:20:31,2
11/01/23 02:21:31,29
11/01/23 02:22:31,30
11/01/23 02:23:31,0
11/01/23 02:24:31,0
11/01/23 02:25:31,3
11/01/23 02:26:31,26
11/01/23 02:27:31,4
11/01/23 02:28:31,38
11/01/23 02:29:31,0
11/01/23 02:30:31,8
11/01/23 02:31:31,13
11/01/23 02:32:31,0
11/01/23 02:33:31,52
11/01/23 02:34:31,-1
11/01/23 02:35:31,22
11/01/23 02:36:31,5
11/01/23 02:37:31,54
11/01/23 02:38:31,0
11/01/23 02:39:31,44
11/01/23 02:40:31,-8
11/01/23 02:41:31,39
11/01/23 02:42:31,-32
11/01/23 02:43:31,0
11/01/23 02:44:31,7
11/01/23 02:45:31,4
11/01/23 02:46:31,30
11/01/23 02:47:31,23
11/01/23 02:48:31,-30
11/01/23 02:49:31,-2
11/01/23 02:50:31,0
11/01/23 02:51:31,30
11/01/23 02:52:31,0
11/01/23 02:53:31,4
11/01/23 02:54:31,3
11/01/23 02:55:31,6
11/01/23 02:56:31,-11
11/01/23 02:57:31,0
11/01/23 02:58:31,68
11/01/23 02:59:31,-4
11/01/23 03:00:31,-1
11/01/23 03:01:31,1
11/01/23 03:02:31,57
11/01/23 03:03:31,2
11/01/23 03:04:31,0
11/01/23 03:05:31,0
11/01/23 03:06:31,-7
11/01/23 03:07:31,-10
11/01/23 03:08:31,-8
11/01/23 03:09:31,-30
11/01/23 03:10:31,0
11/01/23 03:11:31,-1
11/01/23 03:12:31,2
11/01/23 03:13:31,-15
11/01/23 03:14:31,4
11/01/23 03:15:31,0
11/01/23 03:16:31,-15
11/01/23 03:17:31,-7
11/01/23 03:18:31,-10
11/01/23 03:19:31,-4
11/01/23 03:20:31,0
11/01/23 03:21:31,-7
11/01/23 03:22:31,-34
11/01/23 03:23:31,-4
11/01/23 03:24:31,5
11/01/23 03:25:31,4
11/01/23 03:26:31,0
11/01/23 03:27:31,0
11/01/23 03:28:31,2
11/01/23 03:29:31,0
11/01/23 03:30:31,-7
11/01/23 03:31:31,6
11/01/23 03:32:31,0
11/01/23 03:33:31,-1
11/01/23 03:34:31,-1
11/01/23 03:35:31,6
11/01/23 03:36:31,0
11/01/23 03:37:31,7
11/01/23 03:38:31,9
11/01/23 03:39:31,-1
11/01/23 03:40:31,9
11/01/23 03:41:31,0
11/01/23 03:42:31,-2
11/01/23 03:43:31,4
11/01/23 03:44:31,-2
11/01/23 03:45:31,0
11/01/23 03:46:31,16
11/01/23 03:47:31,-2
11/01/23 03:48:31,53
11/01/23 03:49:31,-23
11/01/23 03:50:31,-4
11/01/23 03:51:31,17
11/01/23 03:52:31,52
11/01/23 03:53:31,69
11/01/23 03:54:31,12
11/01/23 03:55:31,-4
11/01/23 03:56:31,1
11/01/23 03:57:31,-9
11/01/23 03:58:31,-30
11/01/23 03:59:31,1
11/01/23 04:00:31,-2
11/01/23 04:01:31,0
11/01/23 04:02:31,-37
11/01/23 04:03:31,29
11/01/23 04:04:31,10
11/01/23 04:05:31,-12
11/01/23 04:06:31,0
11/01/23 04:07:31,-7
11/01/23 04:08:31,0
11/01/23 04:09:31,0
11/01/23 04:10:31,29
11/01/23 04:11:31,0
11/01/23 04:12:31,1
11/01/23 04:13:31,5
11/01/23 04:14:31,-10
11/01/23 04:15:31,11
11/01/23 04:16:31,-1
11/01/23 04:17:31,0
11/01/23 04:18:31,-10
11/01/23 04:19:31,-6
11/01/23 04:20:31,1
11/01/23 04:21:31,-15
11/01/23 04:22:31,0
11/01/23 04:23:31,-12
11/01/23 04:24:31,13
11/01/23 04:25:31,4
11/01/23 04:26:31,40
11/01/23 04:27:31,-39
11/01/23 04:28:31,8
11/01/23 04:29:31,5
11/01/23 04:30:31,-6
11/01/23 04:31:31,3
11/01/23 04:32:31,0
11/01/23 04:33:31,9
11/01/23 04:34:31,1
11/01/23 04:35:31,0
11/01/23 04:36:31,-3
11/01/23 04:37:31,8
11/01/23 04:38:31,-18
11/01/23 04:39:31,-8
11/01/23 04:40:31,4
11/01/23 04:41:31,0
11/01/23 04:42:31,11
11/01/23 04:43:31,4
11/01/23 04:44:31,-1
11/01/23 04:45:31,-30
11/01/23 04:46:31,4
11/01/23 04:47:31,-17
11/01/23 04:48:31,26
11/01/23 04:49:31,4
11/01/23 04:50:31,13
11/01/23 04:51:31,9
11/01/23 04:52:31,0
11/01/23 04:53:31,0
11/01/23 04:54:31,56
11/01/23 04:55:31,20
11/01/23 04:56:31,0
11/01/23 04:57:31,39
11/01/23 04:58:31,0
11/01/23 04:59:31,33
11/01/23 05:00:31,0
11/01/23 05:01:31,3
11/01/23 05:02:31,-31
11/01/23 05:03:31,0
11/01/23 05:04:31,-4
11/01/23 05:05:31,0
11/01/23 05:06:31,0
11/01/23 05:07:31,-33
11/01/23 05:08:31,-1
11/01/23 05:09:31,0
11/01/23 05:10:31,11
11/01/23 05:11:31,-60
11/01/23 05:12:31,0
11/01/23 05:13:31,-3
11/01/23 05:14:31,0
11/01/23 05:15:31,-11
11/01/23 05:16:31,0
11/01/23 05:17:31,26
11/01/23 05:18:31,0
11/01/23 05:19:31,1
11/01/23 05:20:31,0
11/01/23 05:21:31,10
11/01/23 05:22:31,-26
11/01/23 05:23:31,0
11/01/23 05:24:31,0
11/01/23 05:25:31,0
11/01/23 05:26:31,0
11/01/23 05:27:31,0
11/01/23 05:28:31,0
11/01/23 05:29:31,0
11/01/23 05:30:31,0
11/01/23 05:31:31,0
11/01/23 05:32:31,0
11/01/23 05:33:31,0
11/01/23 05:34:31,70
11/01/23 05:35:31,-1
11/01/23 05:36:31,-43
11/01/23 05:37:31,-6
11/01/23 05:38:31,0
11/01/23 05:39:31,17
11/01/23 05:40:31,0
11/01/23 05:41:31,0
11/01/23 05:42:31,8
11/01/23 05:43:31,4
11/01/23 05:44:31,3
11/01/23 05:45:31,0
11/01/23 05:46:31,32
11/01/23 05:47:31,32
11/01/23 05:48:31,0
11/01/23 05:49:31,-8
11/01/23 05:50:31,0
11/01/23 05:51:31,0
11/01/23 05:52:31,0
11/01/23 05:53:31,2
11/01/23 05:54:31,0
11/01/23 05:55:31,4
11/01/23 05:56:31,-18
11/01/23 05:57:31,-17
11/01/23 05:58:31,-4
11/01/23 05:59:31,15
11/01/23 06:00:31,-29
11/01/23 06:01:31,-35
11/01/23 06:02:31,-1
11/01/23 06:03:31,0
11/01/23 06:04:31,8
11/01/23 06:05:31,13
11/01/23 06:06:31,0
11/01/23 06:07:31,-27
11/01/23 06:08:31,13
11/01/23 06:09:31,0
11/01/23 06:10:31,0
11/01/23 06:11:31,14
11/01/23 06:12:31,-12
11/01/23 06:13:31,39
11/01/23 06:14:31,2
11/01/23 06:15:31,7
11/01/23 06:16:31,21
11/01/23 06:17:31,37
11/01/23 06:18:31,13
11/01/23 06:19:31,30
11/01/23 06:20:31,13
11/01/23 06:21:31,35
11/01/23 06:22:31,17
11/01/23 06:23:31,6
11/01/23 06:24:31,0
11/01/23 06:25:31,-45
11/01/23 06:26:31,1
11/01/23 06:27:31,-8
11/01/23 06:28:31,-1
11/01/23 06:29:31,0
11/01/23 06:30:31,0
11/01/23 06:31:31,4
11/01/23 06:32:31,3
11/01/23 06:33:31,10
11/01/23 06:34:31,9
11/01/23 06:35:31,0
11/01/23 06:36:31,32
11/01/23 06:37:31,-26
11/01/23 06:38:31,15
11/01/23 06:39:31,-30
11/01/23 06:40:31,19
11/01/23 06:41:31,0
11/01/23 06:42:31,0
11/01/23 06:43:31,3
11/01/23 06:44:31,6
11/01/23 06:45:31,-12
11/01/23 06:46:31,-4
11/01/23 06:47:31,0
11/01/23 06:48:31,30
11/01/23 06:49:31,18
11/01/23 06:50:31,0
11/01/23 06:51:31,26
11/01/23 06:52:31,7
11/01/23 06:53:31,0
11/01/23 06:54:31,0
11/01/23 06:55:31,0
11/01/23 06:56:31,12
11/01/23 06:57:31,0
11/01/23 06:58:31,-4
11/01/23 06:59:31,-12
11/01/23 07:00:31,-39
11/01/23 07:01:31,30
11/01/23 07:02:31,0
11/01/23 07:03:31,0
11/01/23 07:04:31,-20
11/01/23 07:05:31,0
11/01/23 07:06:31,4
11/01/23 07:07:31,9
11/01/23 07:08:31,-15
11/01/23 07:09:31,-29
11/01/23 07:10:31,-10
11/01/23 07:11:31,-8
11/01/23 07:12:31,5
11/01/23 07:13:31,3
11/01/23 07:14:31,-2
11/01/23 07:15:31,7
11/01/23 07:16:31,0
11/01/23 07:17:31,0
11/01/23 07:18:31,0
11/01/23 07:19:31,-18
11/01/23 07:20:31,-2
11/01/23 07:21:31,4
11/01/23 07:22:31,2
11/01/23 07:23:31,24
11/01/23 07:24:31,-22
11/01/23 07:25:31,-36
11/01/23 07:26:31,4
11/01/23 07:27:31,-4
11/01/23 07:28:31,0
11/01/23 07:29:31,-9
11/01/23 07:30:31,-13
11/01/23 07:31:31,-28
11/01/23 07:32:31,4
11/01/23 07:33:31,4
11/01/23 07:34:31,0
11/01/23 07:35:31,18
11/01/23 07:36:31,-13
11/01/23 07:37:31,15
11/01/23 07:38:31,39
11/01/23 07:39:31,-56
11/01/23 07:40:31,-17
11/01/23 07:41:31,-48
11/01/23 07:42:31,-7
11/01/23 07:43:31,1
11/01/23 07:44:31,5
11/01/23 07:45:31,0
11/01/23 07:46:31,0
11/01/23 07:47:31,21
11/01/23 07:48:31,-2
11/01/23 07:49:31,0
11/01/23 07:50:31,7
11/01/23 07:51:31,-25
11/01/23 07:52:31,-7
11/01/23 07:53:31,0
11/01/23 07:54:31,-10
11/01/23 07:55:31,-38
11/01/23 07:56:31,-13
11/01/23 07:57:31,4
11/01/23 07:58:31,4
11/01/23 07:59:31,-30
11/01/23 08:00:31,0
