timestamp,Infrared to Red Signal Ratio
11/02/23 01:10:31,8
11/02/23 01:11:31,3
11/02/23 01:12:31,0
11/02/23 01:13:31,38
11/02/23 01:14:31,25
11/02/23 01:15:31,5
11/02/23 01:16:31,12
11/02/23 01:17:31,0
11/02/23 01:18:31,-1
11/02/23 01:19:31,-33
11/02/23 01:20:31,-4
11/02/23 01:21:31,6
11/02/23 01:22:31,-11
11/02/23 01:23:31,0
11/02/23 01:24:31,-9
11/02/23 01:25:31,-1
11/02/23 01:26:31,21
11/02/23 01:27:31,0
11/02/23 01:28:31,-7
11/02/23 01:29:31,-7
11/02/23 01:30:31,16
11/02/23 01:31:31,-22
11/02/23 01:32:31,20
11/02/23 01:33:31,4
11/02/23 01:34:31,4
11/02/23 01:35:31,-1
11/02/23 01:36:31,3
11/02/23 01:37:31,0
11/02/23 01:38:31,-3
11/02/23 01:39:31,0
11/02/23 01:40:31,0
11/02/23 01:41:31,7
11/02/23 01:42:31,19
11/02/23 01:43:31,32
11/02/23 01:44:31,0
11/02/23 01:45:31,0
11/02/23 01:46:31,0
11/02/23 01:47:31,44
11/02/23 01:48:31,13
11/02/23 01:49:31,7
11/02/23 01:50:31,0
11/02/23 01:51:31,0
11/02/23 01:52:31,4
11/02/23 01:53:31,7
11/02/23 01:54:31,0
11/02/23 01:55:31,-9
11/02/23 01:56:31,-1
11/02/23 01:57:31,14
11/02/23 01:58:31,-1
11/02/23 01:59:31,0
11/02/23 02:00:31,-16
11/02/23 02:01:31,0
11/02/23 02:02:31,20
11/02/23 02:03:31,-22
11/02/23 02:04:31,-8
11/02/23 02:05:31,-9
11/02/23 02:06:31,30
11/02/23 02:07:31,0
11/02/23 02:08:31,0
11/02/23 02:09:31,-1
11/02/23 02:10:31,-2
11/02/23 02:11:31,9
11/02/23 02:12:31,-18
11/02/23 02:13:31,0
11/02/23 02:14:31,0
11/02/23 02:15:31,10
11/02/23 02:16:31,-32
11/02/23 02:17:31,3
11/02/23 02:18:31,3
11/02/23 02:19:31,-7
11/02/23 02:20:31,-13
11/02/23 02:21:31,-17
11/02/23 02:22:31,34
11/02/23 02:23:31,-6
11/02/23 02:24:31,4
11/02/23 02:25:31,0
11/02/23 02:26:31,-8
11/02/23 02:27:31,25
11/02/23 02:28:31,1
11/02/23 02:29:31,53
11/02/23 02:30:31,-10
11/02/23 02:31:31,-7
11/02/23 02:32:31,-3
11/02/23 02:33:31,1
11/02/23 02:34:31,-22
11/02/23 02:35:31,-8
11/02/23 02:36:31,35
11/02/23 02:37:31,71
11/02/23 02:38:31,0
11/02/23 02:39:31,-3
11/02/23 02:40:31,-60
11/02/23 02:41:31,49
11/02/23 02:42:31,-21
11/02/23 02:43:31,22
11/02/23 02:44:31,0
11/02/23 02:45:31,3
11/02/23 02:46:31,13
11/02/23 02:47:31,16
11/02/23 02:48:31,0
11/02/23 02:49:31,10
11/02/23 02:50:31,0
11/02/23 02:51:31,-12
11/02/23 02:52:31,0
11/02/23 02:53:31,13
11/02/23 02:54:31,8
11/02/23 02:55:31,21
11/02/23 02:56:31,-1
11/02/23 02:57:31,-18
11/02/23 02:58:31,-28
11/02/23 02:59:31,-13
11/02/23 03:00:31,8
11/02/23 03:01:31,7
11/02/23 03:02:31,22
11/02/23 03:03:31,15
11/02/23 03:04:31,-6
11/02/23 03:05:31,10
11/02/23 03:06:31,17
11/02/23 03:07:31,3
11/02/23 03:08:31,36
11/02/23 03:09:31,6
11/02/23 03:10:31,52
11/02/23 03:11:31,-2
11/02/23 03:12:31,30
11/02/23 03:13:31,6
11/02/23 03:14:31,4
11/02/23 03:15:31,0
