timestamp,Infrared to Red Signal Ratio
11/07/23 01:46:00,-4
11/07/23 01:47:00,5
11/07/23 01:48:00,-30
11/07/23 01:49:00,0
11/07/23 01:50:00,0
11/07/23 01:51:00,1
11/07/23 01:52:00,-13
11/07/23 01:53:00,0
11/07/23 01:54:00,2
11/07/23 01:55:00,7
11/07/23 01:56:00,-3
11/07/23 01:57:00,3
11/07/23 01:58:00,0
11/07/23 01:59:03,4
11/07/23 02:00:03,0
11/07/23 02:01:03,-4
11/07/23 02:02:03,0
11/07/23 02:03:03,-33
11/07/23 02:04:03,0
11/07/23 02:05:03,7
11/07/23 02:06:03,-4
11/07/23 02:07:03,0
11/07/23 02:08:03,-15
11/07/23 02:09:03,0
11/07/23 02:10:03,27
11/07/23 02:11:03,2
11/07/23 02:12:03,1
11/07/23 02:13:03,-3
11/07/23 02:14:05,8
11/07/23 02:15:05,-24
11/07/23 02:16:05,-16
11/07/23 02:17:05,26
11/07/23 02:18:05,44
11/07/23 02:19:05,65
11/07/23 02:20:05,0
11/07/23 02:21:05,6
11/07/23 02:22:05,-22
11/07/23 02:23:05,0
11/07/23 02:24:05,-13
11/07/23 02:25:05,6
11/07/23 02:26:05,17
11/07/23 02:27:05,-1
11/07/23 02:28:05,1
11/07/23 02:29:08,0
11/07/23 02:30:08,2
11/07/23 02:31:08,4
11/07/23 02:32:08,-20
11/07/23 02:33:08,1
11/07/23 02:34:08,-22
11/07/23 02:35:08,-11
11/07/23 02:36:08,-2
11/07/23 02:37:08,-20
11/07/23 02:38:08,0
11/07/23 02:39:08,0
11/07/23 02:40:08,-38
11/07/23 02:41:08,0
11/07/23 02:42:08,-53
11/07/23 02:43:08,-11
11/07/23 02:44:11,28
11/07/23 02:45:11,0
11/07/23 02:46:11,3
11/07/23 02:47:11,-11
11/07/23 02:48:11,0
11/07/23 02:49:11,-4
11/07/23 02:50:11,22
11/07/23 02:51:11,8
11/07/23 02:52:11,4
11/07/23 02:53:11,-1
11/07/23 02:54:11,25
11/07/23 02:55:11,-49
11/07/23 02:56:11,3
11/07/23 02:57:11,0
11/07/23 02:58:11,14
11/07/23 02:59:15,4
11/07/23 03:00:15,10
11/07/23 03:01:15,13
11/07/23 03:02:15,1
11/07/23 03:03:15,0
11/07/23 03:04:15,0
11/07/23 03:05:15,-42
11/07/23 03:06:15,0
11/07/23 03:07:15,-4
11/07/23 03:08:15,0
11/07/23 03:09:15,0
11/07/23 03:10:15,-12
11/07/23 03:11:15,-29
11/07/23 03:12:15,-7
11/07/23 03:13:15,-40
11/07/23 03:14:17,0
11/07/23 03:15:17,1
11/07/23 03:16:17,2
11/07/23 03:17:17,-19
11/07/23 03:18:17,38
11/07/23 03:19:17,1
11/07/23 03:20:17,23
11/07/23 03:21:17,9
11/07/23 03:22:17,8
11/07/23 03:23:17,-14
11/07/23 03:24:17,-10
11/07/23 03:25:17,-1
11/07/23 03:26:17,-28
11/07/23 03:27:17,-8
11/07/23 03:28:17,74
11/07/23 03:29:19,36
11/07/23 03:30:19,-5
11/07/23 03:31:19,-28
11/07/23 03:32:19,-13
11/07/23 03:33:19,-19
11/07/23 03:34:19,7
11/07/23 03:35:19,3
11/07/23 03:36:19,-12
11/07/23 03:37:19,-39
11/07/23 03:38:19,13
11/07/23 03:39:19,-17
11/07/23 03:40:19,-5
11/07/23 03:41:19,-1
11/07/23 03:42:19,12
11/07/23 03:43:19,0
11/07/23 03:44:22,0
11/07/23 03:45:22,-17
11/07/23 03:46:22,0
11/07/23 03:47:22,0
11/07/23 03:48:22,3
11/07/23 03:49:22,0
11/07/23 03:50:22,26
11/07/23 03:51:22,4
11/07/23 03:52:22,0
11/07/23 03:53:22,-23
11/07/23 03:54:22,21
11/07/23 03:55:22,0
11/07/23 03:56:22,3
11/07/23 03:57:22,3
11/07/23 03:58:22,3
11/07/23 03:59:24,8
11/07/23 04:00:24,0
11/07/23 04:01:24,0
11/07/23 04:02:24,22
11/07/23 04:03:24,8
11/07/23 04:04:24,-4
11/07/23 04:05:24,8
11/07/23 04:06:24,0
11/07/23 04:07:24,0
11/07/23 04:08:24,36
11/07/23 04:09:24,-48
11/07/23 04:10:24,19
11/07/23 04:11:24,-4
11/07/23 04:12:24,-3
11/07/23 04:13:24,0
11/07/23 04:14:25,-3
11/07/23 04:15:27,34
11/07/23 04:16:27,0
11/07/23 04:17:27,22
11/07/23 04:18:27,0
11/07/23 04:19:27,-13
11/07/23 04:20:27,5
11/07/23 04:21:27,-17
