timestamp,Infrared to Red Signal Ratio
11/03/23 02:22:30,16
11/03/23 02:23:30,-6
11/03/23 02:24:30,7
11/03/23 02:25:30,0
11/03/23 02:26:30,5
11/03/23 02:27:30,-22
11/03/23 02:28:30,-14
11/03/23 02:29:30,1
11/03/23 02:30:30,-4
11/03/23 02:31:30,-20
11/03/23 02:32:30,62
11/03/23 02:33:30,5
11/03/23 02:34:30,46
11/03/23 02:35:30,13
11/03/23 02:36:30,-1
11/03/23 02:37:30,10
11/03/23 02:38:30,26
11/03/23 02:39:30,3
11/03/23 02:40:30,0
11/03/23 02:41:30,26
11/03/23 02:42:30,-13
11/03/23 02:43:30,1
11/03/23 02:44:30,3
11/03/23 02:45:30,22
11/03/23 02:46:30,10
11/03/23 02:47:30,-16
11/03/23 02:48:30,0
11/03/23 02:49:30,23
11/03/23 02:50:30,-4
11/03/23 02:51:30,0
11/03/23 02:52:30,-1
11/03/23 02:53:30,-7
11/03/23 02:54:30,-1
11/03/23 02:55:30,30
11/03/23 02:56:30,-4
11/03/23 02:57:30,1
11/03/23 02:58:30,25
11/03/23 02:59:30,8
11/03/23 03:00:30,-9
11/03/23 03:01:30,0
11/03/23 03:02:30,12
11/03/23 03:03:30,0
11/03/23 03:04:30,-2
11/03/23 03:05:30,2
11/03/23 03:06:30,-13
11/03/23 03:07:30,-15
11/03/23 03:08:30,0
11/03/23 03:09:30,-14
11/03/23 03:10:30,42
11/03/23 03:11:30,8
11/03/23 03:12:30,-12
11/03/23 03:13:30,1
11/03/23 03:14:30,0
11/03/23 03:15:30,60
11/03/23 03:16:30,-30
11/03/23 03:17:30,28
11/03/23 03:18:30,-12
11/03/23 03:19:30,22
11/03/23 03:20:30,0
11/03/23 03:21:30,-25
11/03/23 03:22:30,29
11/03/23 03:23:30,-4
11/03/23 03:24:30,-47
11/03/23 03:25:30,12
11/03/23 03:26:30,32
11/03/23 03:27:30,0
11/03/23 03:28:30,0
11/03/23 03:29:30,3
11/03/23 03:30:30,50
11/03/23 03:31:30,11
11/03/23 03:32:30,4
11/03/23 03:33:30,6
11/03/23 03:34:30,10
11/03/23 03:35:30,3
11/03/23 03:36:30,4
11/03/23 03:37:30,1
11/03/23 03:38:30,-7
11/03/23 03:39:30,-2
11/03/23 03:40:30,-2
11/03/23 03:41:30,43
11/03/23 03:42:30,0
11/03/23 03:43:30,9
11/03/23 03:44:30,0
11/03/23 03:45:30,0
11/03/23 03:46:30,-13
11/03/23 03:47:30,-64
11/03/23 03:48:30,-24
11/03/23 03:49:30,-3
11/03/23 03:50:30,-1
11/03/23 03:51:30,29
11/03/23 03:52:30,9
11/03/23 03:53:30,-17
11/03/23 03:54:30,9
11/03/23 03:55:30,21
11/03/23 03:56:30,0
11/03/23 03:57:30,-56
11/03/23 03:58:30,0
11/03/23 03:59:30,7
11/03/23 04:00:30,-48
11/03/23 04:01:30,3
11/03/23 04:02:30,-22
11/03/23 04:03:30,0
11/03/23 04:04:30,28
11/03/23 04:05:30,-18
11/03/23 04:06:30,1
11/03/23 04:07:30,-7
11/03/23 04:08:30,5
11/03/23 04:09:30,-17
11/03/23 04:10:30,13
11/03/23 04:11:30,60
11/03/23 04:12:30,-2
11/03/23 04:13:30,42
11/03/23 04:14:30,8
11/03/23 04:15:30,0
11/03/23 04:16:30,2
11/03/23 04:17:30,17
11/03/23 04:18:30,-14
11/03/23 04:19:30,9
11/03/23 04:20:30,0
11/03/23 04:21:30,-5
11/03/23 04:22:30,31
11/03/23 04:23:30,2
11/03/23 04:24:30,0
11/03/23 04:25:30,13
11/03/23 04:26:30,1
11/03/23 04:27:30,16
11/03/23 04:28:30,17
11/03/23 04:29:30,0
11/03/23 04:30:30,0
11/03/23 04:31:30,8
11/03/23 04:32:30,22
11/03/23 04:33:30,4
11/03/23 04:34:30,5
11/03/23 04:35:30,-2
11/03/23 04:36:30,26
11/03/23 04:37:30,-2
11/03/23 04:38:30,36
11/03/23 04:39:30,0
11/03/23 04:40:30,35
11/03/23 04:41:30,-2
11/03/23 04:42:30,73
11/03/23 04:43:30,4
11/03/23 04:44:30,21
11/03/23 04:45:30,13
11/03/23 04:46:30,9
11/03/23 04:47:30,-21
11/03/23 04:48:30,21
11/03/23 04:49:30,-1
11/03/23 04:50:30,0
11/03/23 04:51:30,13
11/03/23 04:52:30,-15
11/03/23 04:53:30,0
11/03/23 04:54:30,0
11/03/23 04:55:30,14
11/03/23 04:56:30,24
11/03/23 04:57:30,8
11/03/23 04:58:30,5
11/03/23 04:59:30,43
11/03/23 05:00:30,1
11/03/23 05:01:30,13
11/03/23 05:02:30,21
11/03/23 05:03:30,0
11/03/23 05:04:30,31
11/03/23 05:05:30,8
11/03/23 05:06:30,4
11/03/23 05:07:30,0
11/03/23 05:08:30,8
11/03/23 05:09:30,35
11/03/23 05:10:30,17
11/03/23 05:11:30,0
11/03/23 05:12:30,-13
11/03/23 05:13:30,4
11/03/23 05:14:30,13
11/03/23 05:15:30,39
11/03/23 05:16:30,-7
11/03/23 05:17:30,20
11/03/23 05:18:30,4
11/03/23 05:19:30,3
11/03/23 05:20:30,4
11/03/23 05:21:30,-33
