type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-11-01T02:04:30,2023-11-01T08:01:30,357,32.23221288515406,30.36999999999898,473.54312857147306,0.5079916803736803,1.2435979186054127
IDT,2023-11-02T00:54:30,2023-11-02T08:04:30,430,31.063023255813953,-465.7230706075552,861.8559732467402,0.5415929012257616,1.2498224365615203
IDT,2023-11-03T02:10,2023-11-03T07:50,340,31.35058823529412,-270.11954022988357,489.2915470999433,0.5482861184305559,1.2450465367599342
IDT,2023-11-04T02:45,2023-11-04T09:53,428,33.85794392523365,732.6691297208527,1539.558069266146,0.6556842911299918,1.2896022265390812
IDT,2023-11-05T02:18,2023-11-05T08:06,348,32.68247126436782,186.29428571428434,507.6516979591688,0.6528536482586907,1.2871613419147712
IDT,2023-11-07T01:25:30,2023-11-07T08:00:30,395,33.490126582278485,524.6807725248345,1159.5079824232962,0.6945483160314483,1.3070688807317465
IDT,2023-11-08T00:19:30,2023-11-08T07:37,437,32.21052631578947,14.87002398081313,634.2375689089531,0.6811211285374973,1.302790624554383
IDT,2023-11-09T00:17,2023-11-09T07:59,462,31.90822510822511,-123.94244604316737,822.7992422753014,0.6705394803265191,1.3044401239482175
IDT,2023-11-10T02:26,2023-11-10T08:03:30,338,32.24585798816568,23.443405275778787,401.40521671867464,0.6701485514702574,1.2982917880615645
IDT,2023-11-11T01:56,2023-11-11T09:17,441,31.293650793650794,-376.39000000000124,1395.6480999999912,0.6912089534920957,1.3131685135548257
IDT,2023-11-12T04:09:30,2023-11-12T09:11:30,302,30.703973509933775,-435.8371428571427,1025.4620367346797,0.7263475695891666,1.3263422181958924
IDT,2023-11-12T23:20,2023-11-13T08:00,520,31.66,-252.2298850574698,1572.9139902233146,0.720377937774376,1.353975998633919
IDT,2023-11-13T22:27,2023-11-14T05:59,452,31.304646017699117,-351.35691906005013,622.1234393171035,0.735336049761333,1.3457212639254508
IDT,2023-11-15T00:36,2023-11-15T07:43,424,32.053537735849055,-3.132390745498924,669.537834603223,0.7353075074225385,1.345080028290618
IDT,2023-11-16T00:00:30,2023-11-16T05:59:30,359,30.596657381615596,-523.0200471698099,828.6936204498634,0.7777399302779946,1.3556938976871318
IDT,2023-11-19T01:12,2023-11-19T09:34:30,503,31.985089463220678,-1.8189894035458565E-12,855.4181709742406,0.7734798007873642,1.3599496213504063
IDT,2023-11-20T00:49:30,2023-11-20T06:39,349,31.559598853868195,-121.67056277056508,470.4378964037169,0.7625928612643114,1.3528824573974787
IDT,2023-11-22T02:56,2023-11-22T06:41,225,32.11555555555555,38.00211071234935,161.31404630484758,0.7669619695796643,1.363335013567239
IDT,2023-11-24T01:22:30,2023-11-24T07:14,347,31.136887608069163,-267.65411255411345,1367.9394927006215,0.8010555881812946,1.4083457987043713
IDT,2023-11-25T00:39:30,2023-11-25T07:15,395,32.39772151898734,162.9896620278323,505.7427086783573,0.8068674996794931,1.413233442578981
IDT,2023-11-27T02:06:30,2023-11-27T05:47:30,221,30.99230769230769,-174.9888744588743,1384.0139646352618,0.8192023215275956,1.4722316795940622
IDT,2023-11-27T22:58,2023-11-28T05:30,392,32.58545918367347,265.4757575757576,1320.3763465826632,0.8154885991439891,1.4947884396643485
IDT,2023-11-28T23:12:30,2023-11-29T07:22,487,32.115605749486654,82.27790185295089,592.5621214237763,0.7991581865260776,1.4786276271472216
IDT,2023-11-30T00:41,2023-11-30T06:16:30,336,31.794047619047618,-51.27684800289353,271.49343791999854,0.7962912827781731,1.4577603235503789
IDT,2023-12-01T00:09:30,2023-12-01T07:12,422,32.415876777251185,198.01062542493855,883.7140705714701,0.800604078219161,1.4694144904275392
