date_time,heart_zone_id,total_minutes
2023-11-01T08:37,FAT_BURN,1
2023-11-01T08:42,FAT_BURN,1
2023-11-01T08:45,FAT_BURN,1
2023-11-01T08:59,FAT_BURN,1
2023-11-01T09:00,FAT_BURN,1
2023-11-01T09:01,CARDIO,2
2023-11-01T09:02,CARDIO,2
2023-11-01T09:03,FAT_BURN,1
2023-11-01T09:04,CARDIO,2
2023-11-01T09:05,CARDIO,2
2023-11-01T09:06,FAT_BURN,1
2023-11-01T10:13,FAT_BURN,1
2023-11-01T10:14,FAT_BURN,1
2023-11-01T10:15,FAT_BURN,1
2023-11-01T10:20,FAT_BURN,1
2023-11-01T10:22,FAT_BURN,1
2023-11-01T10:23,FAT_BURN,1
2023-11-01T12:36,FAT_BURN,1
2023-11-01T12:37,FAT_BURN,1
2023-11-01T12:38,FAT_BURN,1
2023-11-01T12:39,FAT_BURN,1
2023-11-01T12:43,FAT_BURN,1
2023-11-01T12:44,FAT_BURN,1
2023-11-01T14:45,FAT_BURN,1
2023-11-01T14:46,FAT_BURN,1
2023-11-01T14:48,FAT_BURN,1
2023-11-01T14:49,FAT_BURN,1
2023-11-01T14:50,CARDIO,2
2023-11-01T14:56,FAT_BURN,1
2023-11-01T15:07,FAT_BURN,1
2023-11-01T16:24,FAT_BURN,1
2023-11-01T16:25,FAT_BURN,1
2023-11-01T16:42,FAT_BURN,1
2023-11-01T16:43,FAT_BURN,1
2023-11-01T16:46,FAT_BURN,1
2023-11-01T16:49,FAT_BURN,1
2023-11-01T16:50,FAT_BURN,1
2023-11-01T21:16,FAT_BURN,1
2023-11-01T21:17,FAT_BURN,1
2023-11-01T21:18,FAT_BURN,1
2023-11-01T21:39,FAT_BURN,1
2023-11-01T21:40,FAT_BURN,1
2023-11-01T21:41,FAT_BURN,1
2023-11-01T21:42,FAT_BURN,1
2023-11-01T21:43,FAT_BURN,1
2023-11-01T21:44,FAT_BURN,1
2023-11-01T21:45,FAT_BURN,1
2023-11-01T21:46,FAT_BURN,1
2023-11-01T21:47,FAT_BURN,1
2023-11-02T08:31,FAT_BURN,1
2023-11-02T08:32,FAT_BURN,1
2023-11-02T08:44,FAT_BURN,1
2023-11-02T08:45,FAT_BURN,1
2023-11-02T08:47,FAT_BURN,1
2023-11-02T08:58,FAT_BURN,1
2023-11-02T09:01,FAT_BURN,1
2023-11-02T09:02,FAT_BURN,1
2023-11-02T09:03,FAT_BURN,1
2023-11-02T09:04,FAT_BURN,1
2023-11-02T09:05,FAT_BURN,1
2023-11-02T09:06,FAT_BURN,1
2023-11-02T10:07,FAT_BURN,1
2023-11-02T10:31,FAT_BURN,1
