timestamp,value
2023-10-23T00:20:33Z,97.8
2023-10-23T00:21:33Z,50.0
2023-10-23T00:22:33Z,98.8
2023-10-23T00:23:33Z,98.7
2023-10-23T00:24:33Z,98.4
2023-10-23T00:25:33Z,97.6
2023-10-23T00:26:33Z,96.7
2023-10-23T00:27:33Z,50.0
2023-10-23T00:28:33Z,95.7
2023-10-23T00:29:33Z,94.7
2023-10-23T00:30:33Z,94.3
2023-10-23T00:31:33Z,93.7
2023-10-23T00:32:33Z,93.4
2023-10-23T00:33:33Z,93.4
2023-10-23T00:34:33Z,93.5
2023-10-23T00:35:33Z,93.4
2023-10-23T00:36:33Z,93.6
2023-10-23T00:37:33Z,94.2
2023-10-23T00:38:33Z,94.5
2023-10-23T00:39:33Z,94.7
2023-10-23T00:40:33Z,94.9
2023-10-23T00:41:33Z,95.1
2023-10-23T00:42:33Z,95.7
2023-10-23T00:43:33Z,96.0
2023-10-23T00:44:33Z,96.0
2023-10-23T00:45:33Z,95.5
2023-10-23T00:46:33Z,95.8
2023-10-23T00:47:33Z,95.6
2023-10-23T00:48:33Z,95.3
2023-10-23T00:49:33Z,50.0
2023-10-23T00:50:33Z,95.3
2023-10-23T00:51:33Z,95.2
2023-10-23T00:52:33Z,95.2
2023-10-23T00:53:33Z,94.0
2023-10-23T00:54:33Z,94.1
2023-10-23T00:55:33Z,94.9
2023-10-23T00:56:33Z,95.4
2023-10-23T00:57:33Z,96.4
2023-10-23T00:58:33Z,97.1
2023-10-23T00:59:33Z,97.3
2023-10-23T01:00:33Z,97.5
2023-10-23T01:01:33Z,97.8
2023-10-23T01:02:33Z,50.0
2023-10-23T01:03:33Z,96.2
2023-10-23T01:04:33Z,94.6
2023-10-23T01:05:33Z,93.4
2023-10-23T01:06:33Z,92.2
2023-10-23T01:07:33Z,92.9
2023-10-23T01:08:33Z,93.5
2023-10-23T01:09:33Z,94.4
2023-10-23T01:10:33Z,94.8
2023-10-23T01:11:33Z,95.7
2023-10-23T01:12:33Z,50.0
2023-10-23T01:13:33Z,96.8
2023-10-23T01:14:33Z,97.4
2023-10-23T01:15:33Z,97.6
2023-10-23T01:16:33Z,97.9
2023-10-23T01:17:33Z,98.0
2023-10-23T01:18:33Z,50.0
2023-10-23T01:19:33Z,97.2
2023-10-23T01:20:33Z,96.0
2023-10-23T01:21:33Z,94.8
2023-10-23T01:22:33Z,50.0
2023-10-23T01:23:33Z,94.3
2023-10-23T01:24:33Z,94.3
2023-10-23T01:25:33Z,94.4
2023-10-23T01:26:33Z,94.3
2023-10-23T01:27:33Z,50.0
2023-10-23T01:28:33Z,94.1
2023-10-23T01:29:33Z,94.1
2023-10-23T01:30:33Z,94.2
2023-10-23T01:31:33Z,95.4
2023-10-23T01:32:33Z,95.4
2023-10-23T01:33:33Z,95.4
